"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0.15","0.15","0.15","0.74","0.74","0.74","0.41","0.41","0.41","0.33","0.33","0.33"
"1000","0.01","0.01","0.01","0.8","0.8","0.8","0.05","0.05","0.05","0.97","0.97","0.97"
"1500","0","0","0","0.4","0.4","0.4","0.83","0.83","0.83","0.29","0.29","0.29"
"2000","0.6","0.6","0.6","0.55","0.55","0.55","0.52","0.52","0.52","0.89","0.89","0.89"
"2500","0.89","0.89","0.89","0.7","0.7","0.7","0.9","0.9","0.9","0","0","0"
"3000","0.64","0.64","0.64","0.74","0.74","0.74","0.22","0.22","0.22","0.52","0.52","0.52"
"3500","0.6","0.6","0.6","0.68","0.68","0.68","0.07","0.07","0.07","0","0","0"
"4000","0.18","0.18","0.18","0.93","0.93","0.93","0.03","0.03","0.03","0.33","0.33","0.33"
"4500","0.01","0.01","0.01","0.14","0.14","0.14","0.1","0.1","0.1","0.94","0.94","0.94"
"5000","0.74","0.74","0.74","0","0","0","0.39","0.39","0.39","0.44","0.44","0.44"
"5500","0.06","0.06","0.06","0.74","0.74","0.74","0.09","0.09","0.09","0.8","0.8","0.8"
"6000","0.08","0.08","0.08","0","0","0","0.27","0.27","0.27","0.84","0.84","0.84"
"6500","0","0","0","0","0","0","0.88","0.88","0.88","0","0","0"
"7000","0","0","0","0.93","0.93","0.93","0.01","0.01","0.01","0.24","0.24","0.24"
"7500","0","0","0","0","0","0","0.1","0.1","0.1","0","0","0"
"8000","0","0","0","0.36","0.36","0.36","0.99","0.99","0.99","0","0","0"
"8500","0","0","0","0.02","0.02","0.02","0.12","0.12","0.12","0.07","0.07","0.07"
"9000","0","0","0","0.51","0.51","0.51","0.05","0.05","0.05","0.08","0.08","0.08"
"9500","0.86","0.86","0.86","0.02","0.02","0.02","0.19","0.19","0.19","0.28","0.28","0.28"
"10000","0.57","0.57","0.57","0.04","0.04","0.04","0.59","0.59","0.59","0.65","0.65","0.65"